rank,name,inst,vote,old,recent,no_files
424,Kartik Kulkarni,34191,617,2170,136,31268
425,Debian Semweb Team,33965,6412,14663,1159,11731
426,Debian Zsh Maintainers,33957,16785,13624,1730,1818
427,Pkgutopia Team,33605,11106,896,712,20891
428,Andriy Grytsenko,33530,2100,27580,3655,195
429,Bob Proulx,33489,1993,30430,1046,20
430,Martina Ferrari,33320,3122,23261,6905,32
431,Debian Hamradio Maintainers,33100,6337,12070,1475,13218
432,Debichem Team,33013,2257,18400,2300,10056
433,David Heidelberg,32421,5314,10909,13156,3042
434,Dovecot Maintainers,32344,16539,14838,950,17
435,Timo Röhling,32293,11765,7621,8057,4850
436,Louis-philippe Véronneau,30949,1638,18621,4789,5901
437,Ben Finney,30524,3593,20998,4596,1337
438,Shengjing Zhu,30415,10597,8622,6618,4578
439,Debian Pkg-e Team,30404,7566,14896,3786,4156
440,Gert Wollny,30071,4746,7656,3631,14038
441,Manuel A. Fernandez Montecelo,30024,7811,20270,1607,336
442,Paul Brossier,29436,3551,15335,1870,8680
443,Chow Loong Jin,29431,7323,16789,2249,3070
444,Marco Nenciarini,29323,3168,10937,621,14597
445,Matteo Bini,29202,165,958,70,28009
446,Moray Allan,29026,18236,6811,3477,502
447,Thibaut Paumard,28932,1237,25084,2601,10
448,Guilhem Moulin,28837,5691,19882,2121,1143
449,Debian Cd Group,27225,2577,23404,1167,77
450,Tcl/tk Debian Packagers,27199,2025,20315,4105,754
451,Ari Pollak,27160,1519,12042,2575,11024
452,Federico Ceratto,27035,4130,19734,2885,286
453,Ian Jackson,26659,2649,22536,1094,380
454,Reinhard Tartler,26621,3268,19930,3395,28
455,Kevin Cernekee,26571,322,247,17,25985
456,Mo Zhou,26430,1610,18642,5021,1157
457,Anton Zinoviev,26415,398,315,22,25680
458,Phil Wyett,26405,4316,12541,3415,6133
459,Neil Roeth,26313,1841,21284,1153,2035
460,Bernhard Schmidt,26240,21817,3851,565,7
461,Chuan-kai Lin,25922,1879,16747,1018,6278
462,Alexander Wirt,25904,3854,18496,3292,262
463,Antoine Beaupré,25733,7678,15682,2341,32
464,Robert Ransom,25696,9421,6674,3872,5729
465,Yann Dirson,25680,593,12526,1648,10913
466,Agustin Henze,25657,3904,17004,2348,2401
467,Owncloud For Debian Maintainers,25497,14088,4953,488,5968
468,Simon Josefsson,25201,1602,3841,1257,18501
469,Davide G. M. Salvetti,25061,4219,17540,2633,669
470,Alexander Zangerl,24818,8677,13814,2293,34
471,A Mennucc1,24816,735,5816,455,17810
472,Debian Lintian Maintainers,24696,2394,19060,3229,13
473,Debian Julia Team,24551,4707,11126,2064,6654
474,Paul Gevers,24497,7920,13736,974,1867
475,Marc Leeman,24384,1918,18889,3319,258
476,Docker Compose Team,24300,3489,17856,2917,38
477,Thijs Kinkhorst,24145,1851,19237,1898,1159
478,Debian Octave Group,24125,605,3506,495,19519
479,Lionel Elie Mamane,24011,854,20314,2575,268
480,Christian Marillat,23787,7626,11659,4171,331
481,Pierre Chifflier,23627,7746,4088,3236,8557
482,Rene Engelhard,23532,588,3741,193,19010
483,Keith Packard,23492,8882,2169,398,12043
484,Syslog-ng Maintainers,23360,17210,3208,314,2628
485,Michal Čihař,22841,428,3440,148,18825
486,Felix Geyer,22810,2937,10500,2070,7303
487,Thorsten Glaser,22713,5010,10989,1031,5683
488,Sam Hocevar,22632,2355,15518,3850,909
489,Utkarsh Gupta,22403,8488,8625,4786,504
